Title: Live Content

Description: Fetched live

Source: https://docs.google.com/spreadsheets/d/1RFcbHT5HYnghUIkYkBmDJn1ZVvcFN7seZ4HFoIbO9nY/export?format=csv

---

                                                                                                                                                                                                ,BƯU CỤC,HÀNG HÓA CẤP PHÁT,SỐ LƯỢNG,ĐVT,HÀNG VỀ TẠI,Người cấp
24/04/2026,20781000 - Bưu Cục Thôn Lực Điền-Yên Mỹ-Hưng Yên,Rổ nhựa sóng,9,Cái,kho,Lương
24/04/2026,20148000-Bưu Cục Nhân Hòa-Mỹ Hào-Hưng Yên,Dây thít,4,Túi,kho,Trang
25/04/2026,21380000 - Bưu Cục Xã Thống Nhất-Hưng Hà-Thái Bình,Máy in nhiệt,1,Cái,bc,Trang
25/04/2026,20623000 - Bưu Cục Quỳnh Hội-Quỳnh Phụ-Thái Bình,Máy in nhiệt,1,Cái,bc,Trang
26/4/2026,20133000 - Bưu Cục 90 Nguyễn Lương Bằng-Kim Động-Hưng Yên,Dây thít,4,Túi,kho,Trang
29/4/2026,20781000 - Bưu Cục Thôn Lực Điền-Yên Mỹ-Hưng Yên,Dây thít,3,Túi,kho,Lương
29/4/2026,20781000 - Bưu Cục Thôn Lực Điền-Yên Mỹ-Hưng Yên,Súng bắn,1,Cái,kho,Lương
29/4/2026,22523000 - Bưu Cục Cầu Khé DT377-Xã Khoái Châu-Hưng Yên,Rổ nhựa sóng,6,Cái,kho,Lương
29/4/2026,22523000 - Bưu Cục Cầu Khé DT377-Xã Khoái Châu-Hưng Yên,dây thít,3,Túi,kho,Lương
29/4/2026,22523000 - Bưu Cục Cầu Khé DT377-Xã Khoái Châu-Hưng Yên,máy in nhiệt,1,Cái,kho,Lương
29/4/2026,22078000-Bưu Cục Thôn Cao Xá-Trần Cao-Phù Cừ-Hưng Yên ,dây thít,5,Túi,kho,Lương + Trang
29/4/2026,20719000-Bưu Cục Thị Trấn Như Quỳnh-Văn Lâm-Hưng Yên,dây thít,3,Túi,kho,Lương
29/4/2026,22476000 - Bưu Cục Đường Doãn Khuê-Phường Vũ Phúc-Thái Bình,máy in nhiệt,1,Cái,kho,Lương
29/4/2026,22476000 - Bưu Cục Đường Doãn Khuê-Phường Vũ Phúc-Thái Bình,Súng bắn,1,Cái,kho,Lương
29/4/2026,21459000 - Bưu Cục Thị Trấn Ân Thi-Ân Thi-Hưng Yên,Bao tải xanh,5,Bó,kho,Lương
29/4/2026,21459000 - Bưu Cục Thị Trấn Ân Thi-Ân Thi-Hưng Yên,dây thít,3,Túi,kho,Lương
29/4/2026,21459000 - Bưu Cục Thị Trấn Ân Thi-Ân Thi-Hưng Yên,súng bắn,1,Cái,kho,Lương
29/4/2026,21496000-Bưu Cục Xã Tân Tiến-Văn Giang-Hưng Yên,Bao tải xanh,5,Bó,kho,Trang
29/4/2026,21496000-Bưu Cục Xã Tân Tiến-Văn Giang-Hưng Yên,Giấy in nhiệt trắng,10,Cuộn,kho,Trang
29/4/2026,21496000-Bưu Cục Xã Tân Tiến-Văn Giang-Hưng Yên,dây thít,3,Túi,kho,trang
