Title: Live Content

Description: Fetched live

Source: https://docs.google.com/spreadsheets/d/1RFcbHT5HYnghUIkYkBmDJn1ZVvcFN7seZ4HFoIbO9nY/export?format=csv&gid=1988859832

---

Ngày kiểm tra,Nhóm,Hạng mục,Tình trạng,Mô tả chi tiết,Hành động đề xuất,Người kiểm tra
15/05/2026,Kết cấu xây dựng,Mái tôn khu A,Khá,Có dấu hiệu rỉ sét nhẹ ở các mối nối,Theo dõi vào mùa mưa,Nguyễn Văn Bảo
15/05/2026,Kết cấu xây dựng,Sơn vạch kẻ đường,Tốt,Vừa mới sơn lại theo kế hoạch tuần 20,Duy trì,Nguyễn Văn Bảo
15/05/2026,Hệ thống điện,Tủ điện tổng MSB,Trung bình,Nhiệt độ tủ hơi cao khi chạy full tải,Vệ sinh và kiểm tra đầu cos,Nguyễn Văn Bảo
15/05/2026,Hệ thống điện,Hệ thống chiếu sáng LED,Tốt,Đã thay thế các bóng hỏng,Duy trì,Nguyễn Văn Bảo
15/05/2026,PCCC,Rào chắn FFM bảo vệ tủ PCCC,Kém,Bị xe nâng va chạm nhẹ làm biến dạng,Thay thế rào chắn mới,Nguyễn Văn Bảo
15/05/2026,PCCC,Hệ thống Sprinkler,Tốt,Áp suất đường ống ổn định,Kiểm tra định kỳ,Nguyễn Văn Bảo
15/05/2026,PCCC,Đèn thoát hiểm (Exit),Kém,2 bộ đèn khu B không sáng khi mất điện,Thay pin dự phòng khẩn cấp,Nguyễn Văn Bảo
15/05/2026,Thiết bị vận hành,Kệ trung tải khu sorting,Tốt,Đã lắp đặt xong 12 dãy,Duy trì,Nguyễn Văn Bảo
15/05/2026,Thiết bị vận hành,Băng chuyền chính,Trung bình,Có tiếng kêu lạ ở motor số 4,Bảo trì tra dầu mỡ,Nguyễn Văn Bảo
15/05/2026,CNTT & An ninh,Hệ thống Camera IP,Khá,1 mắt camera khu nhập hàng bị mờ,Vệ sinh ống kính,Nguyễn Văn Bảo
15/05/2026,CNTT & An ninh,Đầu ghi hình (NVR),Tốt,Lưu trữ được 30 ngày đúng quy định,Duy trì,Nguyễn Văn Bảo
15/05/2026,HVAC,Quạt đối lưu công nghiệp,Khá,Chạy ổn định nhưng hơi ồn,Kiểm tra bạc đạn,Nguyễn Văn Bảo
15/05/2026,HVAC,Hệ thống hút mùi căn tin,Trung bình,Lưới lọc bám nhiều dầu mỡ,Vệ sinh lưới lọc khẩn cấp,Nguyễn Văn Bảo
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,0.00,
,,,109000 ,,109000 ,
,,,109000 ,,109000 ,
,,,22000 ,,22000 ,
,,,8150 ,,8150 ,
,,,109000 ,,109000 ,
,,,109000 ,,109000 ,
,,,109000 ,,109000 ,
,,,109000 ,,109000 ,
,,,109000 ,,109000 ,
,,,219000 ,,219000 ,
,,,219000 ,,219000 ,
,,,219000 ,,219000 ,
,,,219000 ,,219000 ,
,,,69000 ,,69000 ,
,,,149000 ,,149000 ,
,,,449000 ,,449000 ,
,,,109000 ,,109000 ,
,,,109000 ,,109000 ,
,,,109000 ,,109000 ,
,,,109000 ,,109000 ,
,,,109000 ,,109000 ,
,,,109000 ,,109000 ,
,,,109000 ,,109000 ,
,,,6000 ,,6000 ,
,,,109000 ,,109000 ,
,,,219000 ,,219000 ,
,,,109000 ,,109000 ,
,,,219000 ,,219000 ,
,,,219000 ,,219000 ,
,,,109000 ,,109000 ,
,,,109000 ,,109000 ,
,,,109000 ,,109000 ,
,,,219000 ,,219000 ,
,,,109000 ,,109000 ,
,,,109000 ,,109000 ,
,,,449000 ,,449000 ,
,,,109000 ,,109000 ,
,,,109000 ,,109000 ,
,,,109000 ,,109000 ,
,,,69000 ,,69000 ,
,,,109000 ,,109000 ,
,,,6000 ,,6000 ,
,,,219000 ,,219000 ,
,,,449000 ,,449000 ,
,,,219000 ,,219000 ,
,,,449000 ,,449000 ,
,,,22000 ,,22000 ,
,,,219000 ,,219000 ,
,,,22000 ,,22000 ,
,,,22000 ,,22000 ,
,,,149000 ,,149000 ,
,,,449000 ,,449000 ,
,,,22000 ,,22000 ,
,,,109000 ,,109000 ,
,,,109000 ,,109000 ,
,,,22000 ,,22000 ,
,,,22000 ,,22000 ,
,,,22000 ,,22000 ,
,,,449000 ,,449000 ,
,,,69000 ,,69000 ,
,,,69000 ,,69000 ,
,,,449000 ,,449000 ,
,,,109000 ,,109000 ,
,,,22000 ,,22000 ,
,,,69000 ,,69000 ,
,,,69000 ,,69000 ,
,,,22000 ,,22000 ,
,,,69000 ,,69000 ,
,,,109000 ,,109000 ,
,,,449000 ,,449000 ,
,,,0 ,,0 ,
,,,0 ,,0 ,
,,,0 ,,0 ,
,,,4000 ,,4000 ,
,,,22000 ,,22000 ,

